Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] 
WARN	annotation_whitespace	BFO:0000017	IAO:0000602	(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (Quality x) (SpecificallyDependentContinuant x))) // axiom label in BFO2 CLIF: [055-001] 
WARN	annotation_whitespace	BFO:0000019	IAO:0000602	(forall (x) (if (exists (t) (and (existsAt x t) (Quality x))) (forall (t_1) (if (existsAt x t_1) (Quality x))))) // axiom label in BFO2 CLIF: [105-001] 
WARN	annotation_whitespace	BFO:0000020	IAO:0000602	(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] 
WARN	annotation_whitespace	BFO:0000023	IAO:0000602	(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] 
WARN	annotation_whitespace	BFO:0000024	IAO:0000602	(forall (x) (if (FiatObjectPart x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y) (and (Object y) (properContinuantPartOfAt x y t)))))))) // axiom label in BFO2 CLIF: [027-004] 
WARN	annotation_whitespace	BFO:0000027	IAO:0000116	An entity a is an object aggregate if and only if there is a mutually exhaustive and pairwise disjoint partition of a into objects 
WARN	annotation_whitespace	BFO:0000027	IAO:0000602	(forall (x) (if (ObjectAggregate x) (and (MaterialEntity x) (forall (t) (if (existsAt x t) (exists (y z) (and (Object y) (Object z) (memberPartOfAt y x t) (memberPartOfAt z x t) (not (= y z)))))) (not (exists (w t_1) (and (memberPartOfAt w x t_1) (not (Object w)))))))) // axiom label in BFO2 CLIF: [025-004] 
WARN	annotation_whitespace	BFO:0000029	IAO:0000602	(forall (x) (if (Site x) (ImmaterialEntity x))) // axiom label in BFO2 CLIF: [034-002] 
WARN	annotation_whitespace	BFO:0000034	IAO:0000602	(forall (x) (if (Function x) (Disposition x))) // axiom label in BFO2 CLIF: [064-001] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (MaterialEntity x) (IndependentContinuant x))) // axiom label in BFO2 CLIF: [019-002] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt x y t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [021-002] 
WARN	annotation_whitespace	BFO:0000040	IAO:0000602	(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt y x t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [020-002] 
WARN	annotation_whitespace	CARO:0000042	rdfs:comment	"MH: define as not part of embryo, or will not develop into embryo? MH: changed def to exclude cells so this class could be included in gross anatomical part. DOS: Changed to something that I think works for both vertebrates and invertebrates and that keeps the restriction to multicellular structures.  Old def: \""Anatomical structure that is contiguous with the embryo and is comprised of portions of tissue that will not contribute to the embryo.\"".  One remaining question - perhaps zygote is too restrictive given that some organisms have parthenogenesis e.g. aphids?
"
WARN	annotation_whitespace	CARO:0001008	IAO:0000115	Anatomical structure that is part of a multicellular organism and is at the gross anatomical level, e.g. above the level of a cell.  Included are portions of organism substances such as blood, multi-cell-part structures such as axon tracts, acellular anatomical structures such as hair, and organism subdivisions such as head. Excluded is the whole organism and more granular parts of the organism, such as atoms, molecules, macromolecular complexes and cells. 
WARN	annotation_whitespace	CARO:0010004	rdfs:comment	A general term for organism that is agnostic about single cell vs multi-cellular.  Note that this is a subclass of 'anatomical structure', meaning that an organism must be a connected structure. For example, if I take one plant and make a rooted cutting from a it, I now have two (clonally related) organisms. 
WARN	annotation_whitespace	RO:0002093	rdfs:comment	X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y). @en
WARN	annotation_whitespace	RO:0002163	IAO:0000116	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en
WARN	annotation_whitespace	RO:0002215	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 
WARN	deprecated_class_reference	blank node	owl:someValuesFrom	GO:0007568
WARN	duplicate_definition	FBbt:00005293	IAO:0000115	Nuclear divisions 3-8. The egg cytoplasm contracts producing a clear separation from the vitelline membrane and empty spaces at the anterior and posterior. The cleavage nuclei migrate towards the periphery. Duration at 25 degrees C approximately 40 minutes (25-65 minutes AEL).
WARN	duplicate_definition	FBdv:00005293	IAO:0000115	Nuclear divisions 3-8. The egg cytoplasm contracts producing a clear separation from the vitelline membrane and empty spaces at the anterior and posterior. The cleavage nuclei migrate towards the periphery. Duration at 25 degrees C approximately 40 minutes (25-65 minutes AEL).
WARN	duplicate_definition	FBbt:00005306	IAO:0000115	Nuclear division 10-13. Polar buds divide twice and become tightly grouped at the posterior pole by the end of this stage. Nuclei visible at the rim of the embryo. Stage 4 ends with the beginning of cellularization. Duration at 25 degrees C: approximately 50 minutes (80-130 minutes after egg laying).
WARN	duplicate_definition	FBdv:00005306	IAO:0000115	Nuclear division 10-13. Polar buds divide twice and become tightly grouped at the posterior pole by the end of this stage. Nuclei visible at the rim of the embryo. Stage 4 ends with the beginning of cellularization. Duration at 25 degrees C: approximately 50 minutes (80-130 minutes after egg laying).
WARN	duplicate_definition	FBbt:00014201	IAO:0000115	A collective term for stages 9 and 10.
WARN	duplicate_definition	FBdv:00014201	IAO:0000115	A collective term for stages 9 and 10.
WARN	duplicate_definition	FBbt:00005331	IAO:0000115	A collective term for stages 13-15.
WARN	duplicate_definition	FBdv:00005331	IAO:0000115	A collective term for stages 13-15.
WARN	duplicate_definition	FBbt:00004450	IAO:0000115	A collective term for stages 11 and 12.
WARN	duplicate_definition	FBdv:00004450	IAO:0000115	A collective term for stages 11 and 12.
WARN	duplicate_definition	FBbt:00000054	IAO:0000115	A collective term for stages 1-4.
WARN	duplicate_definition	FBdv:00000054	IAO:0000115	A collective term for stages 1-4.
WARN	duplicate_definition	FBbt:00000052	IAO:0000115	.
WARN	duplicate_definition	FBbt:00003004	IAO:0000115	.
WARN	duplicate_definition	FBbt:00005558	IAO:0000115	.
WARN	duplicate_definition	FBbt:00025991	IAO:0000115	.
WARN	duplicate_definition	FBbt:00025993	IAO:0000115	.
WARN	duplicate_exact_synonym	GO:0007632	oboInOwl:hasExactSynonym	visual behaviour
WARN	duplicate_exact_synonym	NBO:0000314	oboInOwl:hasExactSynonym	visual behaviour
WARN	duplicate_exact_synonym	GO:0007632	oboInOwl:hasExactSynonym	behavioural response to visual stimulus
WARN	duplicate_exact_synonym	NBO:0000314	oboInOwl:hasExactSynonym	behavioural response to visual stimulus
WARN	duplicate_exact_synonym	GO:0007610	oboInOwl:hasExactSynonym	behaviour
WARN	duplicate_exact_synonym	NBO:0000313	oboInOwl:hasExactSynonym	behaviour
WARN	duplicate_exact_synonym	GO:0007632	oboInOwl:hasExactSynonym	behavioral response to visual stimulus
WARN	duplicate_exact_synonym	NBO:0000314	oboInOwl:hasExactSynonym	behavioral response to visual stimulus
WARN	duplicate_label	GO:0007632	rdfs:label	visual behavior
WARN	duplicate_label	NBO:0000314	rdfs:label	visual behavior
WARN	duplicate_label	FBcv:0000349	rdfs:label	viable
WARN	duplicate_label	PATO:0000719	rdfs:label	viable
WARN	duplicate_label	FBcv:0000364	rdfs:label	sterile
WARN	duplicate_label	PATO:0000956	rdfs:label	sterile
WARN	duplicate_label	FBcv:0000375	rdfs:label	semi-fertile
WARN	duplicate_label	PATO:0001767	rdfs:label	semi-fertile
WARN	duplicate_label	CARO:0000032	rdfs:label	organism subdivision
WARN	duplicate_label	FBbt:00007009	rdfs:label	organism subdivision
WARN	duplicate_label	CARO:0001010	rdfs:label	organism
WARN	duplicate_label	FBbt:00000001	rdfs:label	organism
WARN	duplicate_label	CARO:0000006	rdfs:label	material anatomical entity
WARN	duplicate_label	FBbt:00007016	rdfs:label	material anatomical entity
WARN	duplicate_label	FBcv:0000370	rdfs:label	male sterile
WARN	duplicate_label	PATO:0000890	rdfs:label	male sterile
WARN	duplicate_label	FBcv:0000371	rdfs:label	male semi-sterile
WARN	duplicate_label	PATO:0001762	rdfs:label	male semi-sterile
WARN	duplicate_label	FBcv:0000006	rdfs:label	male semi-fertile
WARN	duplicate_label	PATO:0001761	rdfs:label	male semi-fertile
WARN	duplicate_label	FBcv:0000376	rdfs:label	male fertile
WARN	duplicate_label	PATO:0000891	rdfs:label	male fertile
WARN	duplicate_label	GO:0007626	rdfs:label	locomotory behavior
WARN	duplicate_label	NBO:0000013	rdfs:label	locomotory behavior
WARN	duplicate_label	FBcv:0006001	rdfs:label	increased fecundity
WARN	duplicate_label	PATO:0001695	rdfs:label	increased fecundity
WARN	duplicate_label	FBcv:0000374	rdfs:label	fertile
WARN	duplicate_label	PATO:0000955	rdfs:label	fertile
WARN	duplicate_label	FBcv:0000366	rdfs:label	female sterile
WARN	duplicate_label	PATO:0000892	rdfs:label	female sterile
WARN	duplicate_label	FBcv:0000367	rdfs:label	female semi-sterile
WARN	duplicate_label	PATO:0001763	rdfs:label	female semi-sterile
WARN	duplicate_label	FBcv:0000007	rdfs:label	female semi-fertile
WARN	duplicate_label	PATO:0001760	rdfs:label	female semi-fertile
WARN	duplicate_label	FBcv:0000377	rdfs:label	female fertile
WARN	duplicate_label	PATO:0000888	rdfs:label	female fertile
WARN	duplicate_label	CARO:0020000	rdfs:label	disconnected anatomical group
WARN	duplicate_label	FBbt:00007276	rdfs:label	disconnected anatomical group
WARN	duplicate_label	FBdv:00007009	rdfs:label	developmental process
WARN	duplicate_label	GO:0032502	rdfs:label	developmental process
WARN	duplicate_label	FBcv:0006002	rdfs:label	decreased fecundity
WARN	duplicate_label	PATO:0001696	rdfs:label	decreased fecundity
WARN	duplicate_label	CARO:0000013	rdfs:label	cell
WARN	duplicate_label	CL:0000000	rdfs:label	cell
WARN	duplicate_label	FBbt:00007002	rdfs:label	cell
WARN	duplicate_label	CARO:0000000	rdfs:label	anatomical entity
WARN	duplicate_label	FBbt:10000000	rdfs:label	anatomical entity
WARN	duplicate_label_synonym	CHEBI:10545	oboInOwl:hasExactSynonym	electron
WARN	duplicate_label_synonym	CHEBI:15022	oboInOwl:hasExactSynonym	electron donor
WARN	duplicate_label_synonym	CHEBI:15377	oboInOwl:hasExactSynonym	water
WARN	duplicate_label_synonym	CHEBI:15379	oboInOwl:hasExactSynonym	dioxygen
WARN	duplicate_label_synonym	CHEBI:16234	oboInOwl:hasExactSynonym	hydroxide
WARN	duplicate_label_synonym	CHEBI:16526	oboInOwl:hasExactSynonym	carbon dioxide
WARN	duplicate_label_synonym	CHEBI:17997	oboInOwl:hasExactSynonym	dinitrogen
WARN	duplicate_label_synonym	CHEBI:22695	oboInOwl:hasExactSynonym	base
WARN	duplicate_label_synonym	CHEBI:23367	oboInOwl:hasExactSynonym	molecular entity
WARN	duplicate_label_synonym	CHEBI:24431	oboInOwl:hasExactSynonym	chemical entity
WARN	duplicate_label_synonym	CHEBI:24433	oboInOwl:hasExactSynonym	group
WARN	duplicate_label_synonym	CHEBI:25212	oboInOwl:hasExactSynonym	metabolite
WARN	duplicate_label_synonym	CHEBI:25367	oboInOwl:hasExactSynonym	molecule
WARN	duplicate_label_synonym	CHEBI:25741	oboInOwl:hasExactSynonym	oxide
WARN	duplicate_label_synonym	CHEBI:25806	oboInOwl:hasExactSynonym	oxygen molecular entity
WARN	duplicate_label_synonym	CHEBI:29412	oboInOwl:hasExactSynonym	oxonium
WARN	duplicate_label_synonym	CHEBI:29793	oboInOwl:hasExactSynonym	hydridodioxygen(1+)
WARN	duplicate_label_synonym	CHEBI:30099	oboInOwl:hasExactSynonym	diazynediium
WARN	duplicate_label_synonym	CHEBI:30102	oboInOwl:hasExactSynonym	diazynium
WARN	duplicate_label_synonym	CHEBI:33250	oboInOwl:hasExactSynonym	atom
WARN	duplicate_label_synonym	CHEBI:33253	oboInOwl:hasExactSynonym	nucleon
WARN	duplicate_label_synonym	CHEBI:33302	oboInOwl:hasExactSynonym	pnictogen molecular entity
WARN	duplicate_label_synonym	CHEBI:33303	oboInOwl:hasExactSynonym	chalcogen
WARN	duplicate_label_synonym	CHEBI:33304	oboInOwl:hasExactSynonym	chalcogen molecular entity
WARN	duplicate_label_synonym	CHEBI:33465	oboInOwl:hasExactSynonym	elemental pnictogen
WARN	duplicate_label_synonym	CHEBI:33582	oboInOwl:hasExactSynonym	carbon group molecular entity
WARN	duplicate_label_synonym	CHEBI:33583	oboInOwl:hasExactSynonym	noble gas molecular entity
WARN	duplicate_label_synonym	CHEBI:33674	oboInOwl:hasExactSynonym	s-block molecular entity
WARN	duplicate_label_synonym	CHEBI:33679	oboInOwl:hasExactSynonym	helium molecular entity
WARN	duplicate_label_synonym	CHEBI:33693	oboInOwl:hasExactSynonym	oxygen hydride
WARN	duplicate_label_synonym	CHEBI:33839	oboInOwl:hasExactSynonym	macromolecule
WARN	duplicate_label_synonym	CHEBI:33893	oboInOwl:hasExactSynonym	reagent
WARN	duplicate_label_synonym	CHEBI:35881	oboInOwl:hasExactSynonym	pnictogen hydride
WARN	duplicate_label_synonym	CHEBI:36340	oboInOwl:hasExactSynonym	fermion
WARN	duplicate_label_synonym	CHEBI:36347	oboInOwl:hasExactSynonym	nuclear particle
WARN	duplicate_label_synonym	CHEBI:36902	oboInOwl:hasExactSynonym	chalcogen hydride
WARN	duplicate_label_synonym	CHEBI:36908	oboInOwl:hasExactSynonym	argon molecular entity
WARN	duplicate_label_synonym	CHEBI:36962	oboInOwl:hasExactSynonym	organochalcogen compound
WARN	duplicate_label_synonym	CHEBI:36963	oboInOwl:hasExactSynonym	organooxygen compound
WARN	duplicate_label_synonym	CHEBI:37527	oboInOwl:hasExactSynonym	acid
WARN	duplicate_label_synonym	CHEBI:38867	oboInOwl:hasExactSynonym	anaesthetic
WARN	duplicate_label_synonym	CHEBI:39141	oboInOwl:hasExactSynonym	Bronsted acid
WARN	duplicate_label_synonym	CHEBI:39142	oboInOwl:hasExactSynonym	Bronsted base
WARN	duplicate_label_synonym	CHEBI:43176	oboInOwl:hasExactSynonym	hydroxy group
WARN	duplicate_label_synonym	CHEBI:46662	oboInOwl:hasExactSynonym	mineral
WARN	duplicate_label_synonym	CHEBI:48354	oboInOwl:hasExactSynonym	polar solvent
WARN	duplicate_label_synonym	CHEBI:48359	oboInOwl:hasExactSynonym	protophilic solvent
WARN	duplicate_label_synonym	CHEBI:48360	oboInOwl:hasExactSynonym	amphiprotic solvent
WARN	duplicate_label_synonym	CHEBI:48706	oboInOwl:hasExactSynonym	antagonist
WARN	duplicate_label_synonym	FBcv:0000347	oboInOwl:hasExactSynonym	phenotypic class
WARN	duplicate_label_synonym	FBcv:0000444	oboInOwl:hasExactSynonym	hyperplasia
WARN	duplicate_label_synonym	FBcv:0000724	oboInOwl:hasExactSynonym	hypoplasia
WARN	duplicate_label_synonym	FBdv:00007024	oboInOwl:hasExactSynonym	biological process
WARN	duplicate_label_synonym	GO:0007610	oboInOwl:hasExactSynonym	behavior
WARN	duplicate_label_synonym	PATO:0000644	oboInOwl:hasExactSynonym	hyperplastic
WARN	duplicate_scoped_synonym	CHEBI:25555	oboInOwl:hasExactSynonym	nitrogen
WARN	duplicate_scoped_synonym	CHEBI:25555	oboInOwl:hasRelatedSynonym	nitrogen
WARN	duplicate_scoped_synonym	CHEBI:25585	oboInOwl:hasExactSynonym	nonmetal
WARN	duplicate_scoped_synonym	CHEBI:25585	oboInOwl:hasRelatedSynonym	nonmetal
WARN	duplicate_scoped_synonym	CHEBI:25805	oboInOwl:hasExactSynonym	oxygen
WARN	duplicate_scoped_synonym	CHEBI:25805	oboInOwl:hasRelatedSynonym	oxygen
WARN	duplicate_scoped_synonym	CHEBI:27594	oboInOwl:hasExactSynonym	carbon
WARN	duplicate_scoped_synonym	CHEBI:27594	oboInOwl:hasRelatedSynonym	carbon
WARN	duplicate_scoped_synonym	CHEBI:30217	oboInOwl:hasExactSynonym	helium
WARN	duplicate_scoped_synonym	CHEBI:30217	oboInOwl:hasRelatedSynonym	helium
WARN	duplicate_scoped_synonym	CHEBI:33309	oboInOwl:hasExactSynonym	noble gas
WARN	duplicate_scoped_synonym	CHEBI:33309	oboInOwl:hasRelatedSynonym	noble gas
WARN	duplicate_scoped_synonym	CHEBI:49475	oboInOwl:hasExactSynonym	argon
WARN	duplicate_scoped_synonym	CHEBI:49475	oboInOwl:hasRelatedSynonym	argon
WARN	duplicate_scoped_synonym	CHEBI:49637	oboInOwl:hasExactSynonym	hydrogen
WARN	duplicate_scoped_synonym	CHEBI:49637	oboInOwl:hasRelatedSynonym	hydrogen
WARN	duplicate_scoped_synonym	CHEBI:50313	oboInOwl:hasExactSynonym	onium cations
WARN	duplicate_scoped_synonym	CHEBI:50313	oboInOwl:hasRelatedSynonym	onium cations
WARN	missing_definition	BFO:0000141	IAO:0000115	
WARN	missing_definition	CHEBI:15379	IAO:0000115	
WARN	missing_definition	CHEBI:16234	IAO:0000115	
WARN	missing_definition	CHEBI:23014	IAO:0000115	
WARN	missing_definition	CHEBI:25555	IAO:0000115	
WARN	missing_definition	CHEBI:25585	IAO:0000115	
WARN	missing_definition	CHEBI:25805	IAO:0000115	
WARN	missing_definition	CHEBI:25806	IAO:0000115	
WARN	missing_definition	CHEBI:27594	IAO:0000115	
WARN	missing_definition	CHEBI:29412	IAO:0000115	
WARN	missing_definition	CHEBI:29793	IAO:0000115	
WARN	missing_definition	CHEBI:30099	IAO:0000115	
WARN	missing_definition	CHEBI:30102	IAO:0000115	
WARN	missing_definition	CHEBI:30217	IAO:0000115	
WARN	missing_definition	CHEBI:33242	IAO:0000115	
WARN	missing_definition	CHEBI:33262	IAO:0000115	
WARN	missing_definition	CHEBI:33263	IAO:0000115	
WARN	missing_definition	CHEBI:33266	IAO:0000115	
WARN	missing_definition	CHEBI:33267	IAO:0000115	
WARN	missing_definition	CHEBI:33306	IAO:0000115	
WARN	missing_definition	CHEBI:33309	IAO:0000115	
WARN	missing_definition	CHEBI:33465	IAO:0000115	
WARN	missing_definition	CHEBI:33559	IAO:0000115	
WARN	missing_definition	CHEBI:33582	IAO:0000115	
WARN	missing_definition	CHEBI:33608	IAO:0000115	
WARN	missing_definition	CHEBI:33679	IAO:0000115	
WARN	missing_definition	CHEBI:33693	IAO:0000115	
WARN	missing_definition	CHEBI:35106	IAO:0000115	
WARN	missing_definition	CHEBI:35881	IAO:0000115	
WARN	missing_definition	CHEBI:36902	IAO:0000115	
WARN	missing_definition	CHEBI:36908	IAO:0000115	
WARN	missing_definition	CHEBI:37176	IAO:0000115	
WARN	missing_definition	CHEBI:43176	IAO:0000115	
WARN	missing_definition	CHEBI:49475	IAO:0000115	
WARN	missing_definition	CHEBI:49637	IAO:0000115	
WARN	missing_definition	CHEBI:50312	IAO:0000115	
WARN	missing_definition	CHEBI:51143	IAO:0000115	
WARN	missing_definition	CHEBI:52211	IAO:0000115	
WARN	missing_definition	CHEBI:52625	IAO:0000115	
WARN	missing_definition	ENVO:00000344	IAO:0000115	
WARN	missing_definition	FBbt:00001727	IAO:0000115	
WARN	missing_definition	FBbt:00005290	IAO:0000115	
WARN	missing_definition	FBbt:00005533	IAO:0000115	
WARN	missing_definition	FBbt:00007006	IAO:0000115	
WARN	missing_definition	FBbt:00007016	IAO:0000115	
WARN	missing_definition	FBbt:00057001	IAO:0000115	
WARN	missing_definition	FBbt:01000119	IAO:0000115	
WARN	missing_definition	FBcv:0000347	IAO:0000115	
WARN	missing_definition	FBcv:0006003	IAO:0000115	
WARN	missing_definition	FBcv:0006007	IAO:0000115	
WARN	missing_definition	FBcv:0008000	IAO:0000115	
WARN	missing_definition	IAO:0000115	IAO:0000115	
WARN	missing_definition	IAO:0000700	IAO:0000115	
WARN	missing_definition	IAO:0100001	IAO:0000115	
WARN	missing_definition	NBO:0000002	IAO:0000115	
WARN	missing_definition	NBO:0000330	IAO:0000115	
WARN	missing_definition	NBO:0000332	IAO:0000115	
WARN	missing_definition	NBO:0000751	IAO:0000115	
WARN	missing_definition	PATO:0000068	IAO:0000115	
WARN	missing_definition	PATO:0001760	IAO:0000115	
WARN	missing_definition	PATO:0001761	IAO:0000115	
WARN	missing_definition	PATO:0001762	IAO:0000115	
WARN	missing_definition	PATO:0001763	IAO:0000115	
WARN	missing_definition	PATO:0001767	IAO:0000115	
WARN	missing_definition	PATO:0002062	IAO:0000115	
WARN	missing_definition	PATO:0002290	IAO:0000115	
WARN	missing_definition	RO:0002017	IAO:0000115	
WARN	missing_definition	RO:0002022	IAO:0000115	
WARN	missing_definition	RO:0002081	IAO:0000115	
WARN	missing_definition	RO:0002083	IAO:0000115	
WARN	missing_definition	RO:0002084	IAO:0000115	
WARN	missing_definition	RO:0002085	IAO:0000115	
WARN	missing_definition	RO:0002086	IAO:0000115	
WARN	missing_definition	RO:0002087	IAO:0000115	
WARN	missing_definition	RO:0002088	IAO:0000115	
WARN	missing_definition	RO:0002090	IAO:0000115	
WARN	missing_definition	RO:0002091	IAO:0000115	
WARN	missing_definition	RO:0002092	IAO:0000115	
WARN	missing_definition	RO:0002093	IAO:0000115	
WARN	missing_definition	RO:0002222	IAO:0000115	
WARN	missing_definition	RO:0002297	IAO:0000115	
WARN	missing_definition	RO:0002354	IAO:0000115	
WARN	missing_definition	RO:0002405	IAO:0000115	
WARN	missing_definition	RO:0002447	IAO:0000115	
WARN	missing_definition	RO:0002464	IAO:0000115	
WARN	missing_definition	RO:0002481	IAO:0000115	
WARN	missing_definition	RO:0002502	IAO:0000115	
WARN	missing_definition	RO:0002506	IAO:0000115	
WARN	missing_definition	RO:0002559	IAO:0000115	
WARN	missing_definition	RO:0002563	IAO:0000115	
WARN	missing_definition	RO:0002564	IAO:0000115	
WARN	missing_definition	RO:0004032	IAO:0000115	
WARN	missing_definition	RO:0004033	IAO:0000115	
WARN	missing_definition	RO:0004046	IAO:0000115	
WARN	missing_definition	RO:0004047	IAO:0000115	
WARN	missing_definition	obo:chebi#IUPAC_NAME	IAO:0000115	
WARN	missing_definition	obo:fbcv#BRAIN_NAME_ABV	IAO:0000115	
WARN	missing_definition	obo:fbcv#BRAND_NAME	IAO:0000115	
WARN	missing_definition	obo:fbcv#FORMULA	IAO:0000115	
WARN	missing_definition	obo:fbcv#INN	IAO:0000115	
WARN	missing_definition	obo:fbcv#IUPAC_NAME	IAO:0000115	
WARN	missing_definition	obo:fbcv#InChI	IAO:0000115	
WARN	missing_definition	obo:fbcv#InChIKey	IAO:0000115	
WARN	missing_definition	obo:fbcv#SMILES	IAO:0000115	
WARN	missing_definition	obo:fbcv#systematic_synonym	IAO:0000115	
WARN	missing_definition	obo:nbo#in_response_to	IAO:0000115	
WARN	missing_definition	oboInOwl:Subset	IAO:0000115	
WARN	missing_definition	oboInOwl:SubsetProperty	IAO:0000115	
WARN	missing_definition	oboInOwl:SynonymTypeProperty	IAO:0000115	
WARN	missing_definition	oboInOwl:consider	IAO:0000115	
WARN	missing_definition	oboInOwl:hasAlternativeId	IAO:0000115	
WARN	missing_definition	oboInOwl:hasBroadSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasDbXref	IAO:0000115	
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasNarrowSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBOFormatVersion	IAO:0000115	
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115	
WARN	missing_definition	oboInOwl:hasRelatedSynonym	IAO:0000115	
WARN	missing_definition	oboInOwl:hasScope	IAO:0000115	
WARN	missing_definition	oboInOwl:inSubset	IAO:0000115	
WARN	missing_definition	oboInOwl:shorthand	IAO:0000115	
WARN	missing_label	obo:chebi#IUPAC_NAME	rdfs:label	
WARN	missing_superclass	BFO:0000001	rdfs:subClassOf	
WARN	missing_superclass	CHEBI:24431	rdfs:subClassOf	
WARN	missing_superclass	CHEBI:36342	rdfs:subClassOf	
WARN	missing_superclass	CL:0000000	rdfs:subClassOf	
WARN	missing_superclass	GO:0003674	rdfs:subClassOf	
WARN	missing_superclass	GO:0008150	rdfs:subClassOf	
INFO	lowercase_definition	BFO:0000004	IAO:0000115	b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])@en
INFO	lowercase_definition	BFO:0000015	IAO:0000115	p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])@en
